accession,description,seq_length
NC_034205.1,"NC_034205.1 Grapevine rupestris vein feathering virus isolate Mauzac, complete genome",6730
NC_034206.1,"NC_034206.1 Bakunsa virus, complete genome",7429
NC_034207.1,"NC_034207.1 African eggplant yellowing virus isolate eMA4, complete genome",5953
NC_034208.1,"NC_034208.1 Sunflower ring blotch virus isolate Chaco, complete genome",9555
NC_034209.1,"NC_034209.1 Phomopsis longicolla circular virus 1 strain TWH P74, complete genome",3170
NC_034210.1,"NC_034210.1 Circovirus sp. isolate DaiShan, complete genome",1873
NC_034216.1,"NC_034216.1 Lagenaria siceraria endornavirus-Hubei isolate JZ, complete genome",15098
NC_034217.1,"NC_034217.1 Pityohyphantes rubrofasciatus iflavirus isolate UW1, complete genome",9834
NC_034218.1,"NC_034218.1 Rhinolophus hildebrandtii polyomavirus 1 DNA, complete genome, strain: 12SuB17",5060
NC_034219.1,"NC_034219.1 Rousettus aegyptiacus polyomavirus 1 DNA, complete genome, strain: 12SuB01",5014
NC_034220.1,"NC_034220.1 Miniopterus schreibersii polyomavirus 1 DNA, complete genome, strain: 12SuB07",4752
NC_034221.1,"NC_034221.1 Miniopterus schreibersii polyomavirus 2 DNA, complete genome, strain: 12SuB08",4877
NC_034223.1,"NC_034223.1 Mogiana tick virus isolate MGTV/V4/11 segment 3, complete sequence",2705
NC_034224.1,"NC_034224.1 Mogiana tick virus isolate MGTV/V4/11 VP2-3 gene, complete cds",2728
NC_034225.1,"NC_034225.1 Mogiana tick virus isolate MGTV/V4/11 putative glycoprotein gene, complete cds",2629
NC_034240.1,"NC_034240.1 Tomato yellow mottle-associated virus, complete genome",13389
NC_034241.1,"NC_034241.1 Diabrotica virgifera virgifera virus 2 isolate Pennsylvania, complete genome",10493
NC_034243.1,"NC_034243.1 Ixeridium yellow mottle virus 2, complete genome",4196
NC_034244.1,"NC_034244.1 Diabrotica virgifera virgifera virus 3 isolate South Dakota, complete genome",13202
NC_034245.1,"NC_034245.1 Bovine rhinovirus 1 strain SD-1, complete genome",7253
NC_034246.1,"NC_034246.1 Cowpea polerovirus 1 isolate BE167, complete genome",5845
NC_034247.1,"NC_034247.1 Cowpea polerovirus 2 isolate BE179, complete genome",5945
NC_034248.1,"NC_034248.1 Rhizobium phage RHEph10, complete genome",115042
NC_034249.1,"NC_034249.1 Kaumoebavirus isolate Sc, complete genome",350731
NC_034251.1,"NC_034251.1 Vicugna pacos polyomavirus 1 isolate UCD1, complete genome",5052
NC_034252.1,"NC_034252.1 Wisteria badnavirus 1 isolate ZT-1, complete genome",7326
NC_034253.1,"NC_034253.1 LI polyomavirus isolate LIPyV, complete genome",5269
NC_034261.1,"NC_034261.1 Dhori virus isolate Dhori/1313/61 segment 1, complete sequence",2375
NC_034262.1,"NC_034262.1 Dhori virus isolate Dhori/1313/61 segment 5, complete sequence",1478
NC_034263.1,"NC_034263.1 Dhori virus isolate Dhori/1313/61 segment 2, complete sequence",2224
NC_034264.1,"NC_034264.1 Arracacha virus V isolate CNPH, complete genome",7398
NC_034265.1,"NC_034265.1 Tobacco virus 2, complete genome",5979
NC_034266.1,"NC_034266.1 Columbid alphaherpesvirus 1 strain HLJ, complete genome",204237
NC_034267.1,"NC_034267.1 Enterovirus goat/JL14, complete genome",7461
NC_034273.1,"NC_034273.1 Endive necrotic mosaic virus strain ENMV-FR, complete genome",10000
NC_034377.1,"NC_034377.1 Watermelon virus A isolate KF-15, complete genome",8372
NC_034378.1,"NC_034378.1 Raccoon-associated polyomavirus 2 isolate Rac2, complete genome",5225
NC_034381.1,"NC_034381.1 Miniopterus schreibersii picornavirus 1, complete genome",8468
NC_034382.1,"NC_034382.1 Cynomolgus adenovirus 1 isolate UK/UK-1/2004, complete genome",35555
NC_034383.1,"NC_034383.1 Pacmanvirus A23 genome assembly, complete genome: monopartite",395405
NC_034384.1,"NC_034384.1 Diamondback moth iflavirus isolate Guangzhou, complete genome",9580
NC_034385.1,"NC_034385.1 Human cosavirus F strain PK5006 polyprotein gene, complete cds",6656
NC_034386.1,"NC_034386.1 Nairobi sheep disease virus isolate Jilin segment S nucleocapsid gene, complete cds",1590
NC_034387.1,"NC_034387.1 Nairobi sheep disease virus isolate Jilin segment L RNA-dependent RNA polymerase gene, complete cds",12081
NC_034391.1,"NC_034391.1 Nairobi sheep disease virus isolate Jilin segment M glycoprotein precursor, gene, complete cds",5077
NC_034440.1,"NC_034440.1 Bat coronavirus isolate PREDICT/PDF-2180, complete genome",29642
NC_034441.1,"NC_034441.1 Salmovirus WFRC1, complete genome",4562
NC_034443.1,"NC_034443.1 Le Dantec virus nucleoprotein, phosphoprotein, matrix, glycoprotein, hypothetical protein, and polymerase genes, complete cds",11450
NC_034444.1,"NC_034444.1 Hom-1 vesivirus, complete genome",8399
NC_034445.1,"NC_034445.1 Skunk amdoparvovirus strain SK-23, complete genome",4242
NC_034446.1,"NC_034446.1 Ateline alphaherpesvirus 1 isolate Lennette, complete genome",147346
NC_034456.1,"NC_034456.1 Canis familiaris polyomavirus 1 isolate R006926 CT2015, complete genome",5070
NC_034475.1,"NC_034475.1 Oriboca virus strain BeAn17 RNA-dependent RNA polymerase gene, complete cds",6895
NC_034476.1,"NC_034476.1 Oriboca virus strain BeAn17 nucleocapsid protein and nonstructural protein genes, complete cds",1032
NC_034477.1,"NC_034477.1 Caraparu virus strain BeAn3994 polyprotein gene, complete cds",4356
NC_034478.1,"NC_034478.1 Caraparu virus strain BeAn3994 nucleocapsid protein and nonstructural protein genes, complete cds",1048
NC_034479.1,"NC_034479.1 Bwamba virus strain M459 segment L polymerase gene, complete cds",6934
NC_034480.1,"NC_034480.1 Bwamba virus strain M459 segment S nucleoprotein and nonstructural protein NSs genes, complete cds",1096
NC_034481.1,"NC_034481.1 Nyando virus strain MP401 segment S nucleoprotein and nonstructural protein NSs genes, complete cds",902
NC_034486.1,"NC_034486.1 Guaroa virus strain BeH22063 segment S, complete sequence",955
NC_034487.1,"NC_034487.1 Guaroa virus strain BeH22063 segment L, complete sequence",6824
NC_034488.1,"NC_034488.1 Oriboca virus strain BeAn17 polyprotein gene, complete cds",4332
NC_034489.1,"NC_034489.1 Caraparu virus strain BeAn3994 RNA-dependent RNA polymerase gene, complete cds",6855
NC_034490.1,"NC_034490.1 Bwamba virus strain M459 segment M glycoprotein precursor gene, complete cds",4557
NC_034491.1,"NC_034491.1 Nyando virus strain MP401 segment M glycoprotein precursor gene, complete cds",4449
NC_034492.1,"NC_034492.1 Nyando virus strain MP401 segment L polymerase gene, complete cds",6959
NC_034495.1,"NC_034495.1 Marituba virus strain BeAn15 RNA-dependent RNA polymerase gene, complete cds",6894
NC_034496.1,"NC_034496.1 Marituba virus strain BeAn15 nucleocapsid protein and nonstructural protein genes, complete cds",1111
NC_034497.1,"NC_034497.1 Madrid virus strain BT4075 RNA-dependent RNA polymerase gene, complete cds",6872
NC_034498.1,"NC_034498.1 Madrid virus strain BT4075 nucleocapsid protein and nonstructural protein genes, complete cds",1090
NC_034499.1,"NC_034499.1 Kaeng Khoi virus strain PSC-19 segment L polymerase gene, complete cds",6866
NC_034500.1,"NC_034500.1 Kaeng Khoi virus strain PSC-19 segment M glycoprotein precursor gene, complete cds",4568
NC_034501.1,"NC_034501.1 Kaeng Khoi virus strain PSC-19 segment S nucleoprotein and nonstructural protein NSs genes, complete cds",975
NC_034504.1,"NC_034504.1 Marituba virus strain BeAn15 polyprotein gene, complete cds",4594
NC_034505.1,"NC_034505.1 Madrid virus strain BT4075 polyprotein gene, complete cds",4642
NC_034506.1,"NC_034506.1 Guaroa virus strain BeH22063 segment M, complete sequence",4486
NC_034509.1,"NC_034509.1 Hoya chlorotic spot virus isolate 12-415, complete genome",6386
NC_034510.1,NC_034510.1 Dera Ghazi Khan virus isolate JD254 segment M cRNA sequence,4436
NC_034516.1,"NC_034516.1 Sangassou virus strain SA14 glycoprotein precursor (M) gene, complete cds",3651
NC_034517.1,"NC_034517.1 Sangassou virus strain SA14 RNA polymerase (L) gene, complete cds",6531
NC_034520.1,NC_034520.1 Dera Ghazi Khan virus isolate JD254 segment L cRNA sequence,12004
NC_034521.1,NC_034521.1 Dera Ghazi Khan virus isolate JD254 segment S cRNA sequence,1768
NC_034526.1,"NC_034526.1 Sangassou virus strain SA14 N protein (S) gene, complete cds",1746
NC_034551.1,"NC_034551.1 Colocasia bobone disease-associated virus strain SI, complete genome",12193
NC_034555.1,"NC_034555.1 Anjozorobe hantavirus strain Anjozorobe/Em/MDG/2009/ATD49 nucleocapsid protein (N) gene, complete cds",1816
NC_034556.1,"NC_034556.1 Anjozorobe hantavirus strain Anjozorobe/Em/MDG/2009/ATD49 RNA-dependent RNA polymerase gene, complete cds",6508
NC_034563.1,"NC_034563.1 Anjozorobe hantavirus strain Anjozorobe/Em/MDG/2009/ATD49 glycoprotein precursor, gene, complete cds",3586
NC_034568.1,"NC_034568.1 Picorna-like virus AWando15, complete genome",8019
NC_034569.1,"NC_034569.1 Castlerea virus isolate P59341, complete genome",9403
NC_034614.1,"NC_034614.1 Zostera marina amalgavirus 1 isolate SRP035489-1, complete genome",3383
NC_034615.1,"NC_034615.1 Zostera marina amalgavirus 2 isolate SRP035489-2, complete genome",3316
NC_034616.1,"NC_034616.1 Human papillomavirus type 85 isolate 114B, complete genome",7812
NC_034617.1,"NC_034617.1 Harrier picornavirus 1 strain harrier/MR-01/HUN/2014, complete genome",8541
NC_034618.1,"NC_034618.1 Ranid herpesvirus 3 isolate FO1_2015, complete genome",207914
NC_034622.1,"NC_034622.1 Alfalfa virus S isolate 98.3A, complete genome",8349
NC_034626.1,"NC_034626.1 Bat mastadenovirus WIV17, complete genome",29923
NC_034629.1,"NC_034629.1 Pepper yellow dwarf virus - Mexico strain PepYDV-Curto, complete genome",2971
NC_034630.1,"NC_034630.1 Sweetpotato symptomless mastrevirus 1 isolate Z01057b, complete genome",2886
NC_034833.1,"NC_034833.1 Agave tequilana leaf virus isolate agave azul-Mex1, complete genome",6958
NC_034834.1,"NC_034834.1 Deer mastadenovirus B isolate 1319, complete genome",33945
NC_034970.1,"NC_034970.1 Peach associated luteovirus isolate Konela, complete genome",5819
NC_034971.1,"NC_034971.1 Canine kobuvirus isolate SMCD-59, complete genome",8216
NC_034972.1,"NC_034972.1 Coronavirus AcCoV-JC34, complete genome",27682
NC_034974.1,"NC_034974.1 Mamastrovirus 2 isolate K321, complete genome",6347
NC_034975.1,"NC_034975.1 California sea lion astrovirus 2 RNA-dependent RNA polymerase gene, partial cds; and capsid protein gene, complete cds",3510
NC_034976.1,"NC_034976.1 Goat torovirus strain SZ, complete genome",28487
NC_034977.1,"NC_034977.1 Duck associated cyclovirus 1 strain DuACyV-1/1, complete genome",1902
NC_034978.1,"NC_034978.1 Torque teno indri virus 1, complete genome",2572
NC_035072.1,"NC_035072.1 Bat mastadenovirus WIV18, complete genome",29812
NC_035110.1,"NC_035110.1 Fur seal picorna-like virus isolate KGI-Bel-22, complete genome",8136
NC_035114.1,"NC_035114.1 Neofusicoccum luteum mitovirus 1 isolate CAP037, complete genome",2389
NC_035117.1,"NC_035117.1 Common bottlenose dolphin gammaherpesvirus 1 strain Sarasota, complete genome",167212
NC_035118.1,"NC_035118.1 Karumba virus isolate KRBV 1892, complete genome",10646
NC_035119.1,"NC_035119.1 Wilkie partiti-like virus 2 strain mosWSCP53020, complete genome",1819
NC_035120.1,"NC_035120.1 Wilkie narna-like virus 2 strain mosWSCP85442, complete genome",3367
NC_035121.1,"NC_035121.1 Point-Douro narna-like virus strain mos172gb29666, complete genome",2857
NC_035122.1,"NC_035122.1 Wilkie partiti-like virus 1 strain mosWSCP36002, complete genome",2100
NC_035123.1,"NC_035123.1 Culex negev-like virus 2 strain mos172X30622, complete genome",9324
NC_035124.1,"NC_035124.1 Culex negev-like virus 1 strain mosWSX37710, complete genome",10867
NC_035125.1,"NC_035125.1 Leshenault partiti-like virus strain mos182CP80460, complete genome",2709
NC_035126.1,"NC_035126.1 Wilkie narna-like virus 1 strain mosWSCP70929, complete genome",2968
NC_035127.1,"NC_035127.1 Olivier's shrew virus 1 isolate Gkd-1, complete genome",13766
NC_035128.1,"NC_035128.1 Aedes camptorhynchus negev-like virus strain mos191CP47896, complete genome",11470
NC_035129.1,"NC_035129.1 Culex negev-like virus 3 strain mos172X44875, complete genome",9176
NC_035130.1,"NC_035130.1 Aedes alboannulatus toti-like virus 1 strain mosWSCP114121, complete genome",6363
NC_035131.1,"NC_035131.1 Aedes camptorhynchus toti-like virus 1 strain mos172CP87493, complete genome",6363
NC_035132.1,"NC_035132.1 Culex rhabdo-like virus strain mosWSB71420, complete genome",11503
NC_035133.1,"NC_035133.1 Culex mononega-like virus 2 strain mos191gb23464, complete genome",13297
NC_035134.1,"NC_035134.1 Cucurbit vein banding virus isolate 3.1, complete genome",9969
NC_035135.1,"NC_035135.1 Torque teno Leptonychotes weddellii virus-2 isolate TTLwV-2_gt3_wsp24, complete genome",2105
NC_035136.1,"NC_035136.1 Torque teno Leptonychotes weddellii virus-1 isolate TTLwV-1_gt2_wsp20, complete genome",2119
NC_035137.1,"NC_035137.1 Bemisia-associated genomovirus AdDF, complete genome",2199
NC_035138.1,"NC_035138.1 Bemisia-associated genomovirus AdO, complete genome",2211
NC_035139.1,"NC_035139.1 Bemisia-associated genomovirus NfO, complete genome",2231
NC_035179.1,"NC_035179.1 Sugarcane striate virus isolate SCStV_GP_TC9-3_2013, complete genome",2749
NC_035180.1,"NC_035180.1 Ungulate tetraparvovirus 3 isolate Tedej, complete genome",5533
NC_035181.1,"NC_035181.1 Giant panda polyomavirus isolate GPPyV1, complete genome",5144
NC_035182.1,"NC_035182.1 Pansavirus 2 strain gppn002, complete genome",8612
NC_035183.1,"NC_035183.1 Pansavirus 1 strain gppn001, complete genome",8703
NC_035188.1,"NC_035188.1 Seal parapoxvirus isolate AFK76s1, complete genome",127941
NC_035192.1,"NC_035192.1 Giant panda anellovirus strain gpan20688, complete genome",2059
NC_035193.1,"NC_035193.1 Ailuropoda melanoleuca papillomavirus 4 strain gpam004, complete genome",7996
NC_035194.1,"NC_035194.1 Giant panda circovirus 3 strain gpci003, complete genome",2653
NC_035195.1,"NC_035195.1 Giant panda circovirus 2 strain gpci002, complete genome",1908
NC_035196.1,"NC_035196.1 Giant panda circovirus 4 strain gpci004, complete genome",1928
NC_035197.1,"NC_035197.1 Giant panda associated gemycircularvirus strain gpge004, complete genome",2185
NC_035198.1,"NC_035198.1 Aimelvirus 2 strain gpai002, complete genome",8080
NC_035199.1,"NC_035199.1 Ailuropoda melanoleuca papillomavirus 2 strain gpam002, complete genome",7582
NC_035200.1,"NC_035200.1 Giant panda circovirus 1 strain gpci001, complete genome",2745
NC_035201.1,"NC_035201.1 Ailuropoda melanoleuca papillomavirus 1 strain gpam001, complete genome",7676
NC_035204.1,"NC_035204.1 Vanilla latent virus isolate CRV2148ALL, complete genome",7462
NC_035205.1,"NC_035205.1 Vanilla virus X isolate CRV2148POT, complete genome",6295
NC_035207.1,"NC_035207.1 Red squirrel adenovirus 1 strain DE/2013/Sciurus vulgaris/2013Pa405-00252, complete genome",35030
NC_035208.1,"NC_035208.1 Bovine papillomavirus isolate NY-8385, complete genome",7480
NC_035209.1,"NC_035209.1 Garrulus glandarius associated circular virus 1 strain GgaCV-1/1, complete genome",1971
NC_035210.1,"NC_035210.1 Tinamou hepatitis B virus isolate 160050, complete genome",3024
NC_035211.1,"NC_035211.1 Human fecal virus Jorvi4, complete genome",2343
NC_035212.1,"NC_035212.1 Human fecal virus Jorvi2, complete genome",3925
NC_035213.1,"NC_035213.1 Human fecal virus Jorvi3, complete genome",1942
NC_035216.1,"NC_035216.1 Aedes camptorhynchus reo-like virus strain mos182CP78499 segment 2, complete genome",4052
NC_035217.1,"NC_035217.1 Aedes camptorhynchus reo-like virus strain mos182CP78499 segment 4, complete genome",2555
NC_035222.1,"NC_035222.1 Aedes camptorhynchus reo-like virus strain mos182CP78499 segment 1, complete genome",4242
NC_035223.1,"NC_035223.1 Aedes camptorhynchus reo-like virus strain mos182CP78499 segment 3, complete genome",3160
NC_035432.1,"NC_035432.1 Linda virus strain Austria1, complete genome",12614
NC_035450.1,"NC_035450.1 Lasius neglectus virus 1 isolate Cambridge-Lne, complete genome",11851
NC_035451.1,"NC_035451.1 Wheat leaf yellowing-associated virus isolate JN-U3, complete genome",5772
NC_035452.1,"NC_035452.1 Rice virus A isolate SK, complete genome",4832
NC_035453.1,"NC_035453.1 Actinidia virus 1 isolate K75, complete genome",18848
NC_035455.1,"NC_035455.1 Solenopsis invicta virus 4 isolate Gainesville-Sin, complete genome",12102
NC_035456.1,"NC_035456.1 Lasius niger virus 1 isolate Cambridge-Lni, complete genome",11092
NC_035457.1,"NC_035457.1 Myrmica scabrinodis virus 1 isolate Cambridge-Msc, complete genome",11900
NC_035458.1,"NC_035458.1 Wild melon vein banding virus isolate Su03-07, complete genome",10152
NC_035459.1,"NC_035459.1 Sudan watermelon mosaic virus isolate Su94-54, complete genome",10232
NC_035460.1,"NC_035460.1 Eptesipox virus strain Washington, complete genome",176688
NC_035464.1,"NC_035464.1 Metallosphaera turreted icosahedral virus strain MTIV1, complete genome",9780
NC_035465.1,"NC_035465.1 Morelia viridis nidovirus strain S14-1323_MVNV, complete genome",32399
NC_035468.1,"NC_035468.1 Murmansk poxvirus strain LEIV-11411, complete genome",204055
NC_035469.1,"NC_035469.1 NY_014 poxvirus strain 2013, complete genome",200223
NC_035470.1,"NC_035470.1 Abisko virus isolate Abisko-6, complete genome",10187
NC_035472.1,"NC_035472.1 Jujube mosaic-associated virus isolate Z6, complete genome",7194
NC_035474.1,"NC_035474.1 Human feces smacovirus 3 isolate P21, complete genome",2560
NC_035475.1,"NC_035475.1 Hudisavirus sp. isolate P22, complete genome",2585
NC_035476.1,"NC_035476.1 Porcine stool-associated circular virus/BEL/15V010 isolate 15V010, complete genome",3081
NC_035477.1,"NC_035477.1 Porcine feces-associated gemycircularvirus isolate BEL/15V010, complete genome",2204
NC_035478.1,"NC_035478.1 Sus scrofa papillomavirus 2 isolate DE1018-16, complete genome",8218
NC_035479.1,"NC_035479.1 Felis catus papillomavirus type 5, complete genome",7600
NC_035480.1,"NC_035480.1 Wild vitis virus 1 isolate WVV1-NY1468, complete genome",3278
NC_035481.1,"NC_035481.1 Tomato leaf curl purple vein virus isolate BR:793:15 clone P793, complete genome",2629
NC_035619.1,"NC_035619.1 Odocoileus adenovirus 1, complete genome",30620
NC_035674.1,"NC_035674.1 Australian Anopheles totivirus isolate AATV 150840, complete genome",6203
NC_035676.1,"NC_035676.1 Tomato associated geminivirus 1 isolate Tomato_BR, complete genome",2611
NC_035758.1,"NC_035758.1 Bastrovirus 7, complete genome",6339
NC_035779.1,"NC_035779.1 Falcon picornavirus, complete genome",7964
NC_035797.1,"NC_035797.1 Squirrelpox virus Berlin_2015, complete genome",142974
NC_035798.1,"NC_035798.1 Tioga picorna-like virus 1, complete genome",8681
NC_035799.1,"NC_035799.1 Bat circovirus isolate Acheng30, complete genome",2113
NC_035889.1,"NC_035889.1 Zika virus isolate ZIKV/H. sapiens/Brazil/Natal/2015, complete genome",10808
NC_036389.1,"NC_036389.1 Chequa iflavirus isolate A14-49.4, complete genome",9932
NC_036390.1,"NC_036390.1 Maize Iranian mosaic nucleorhabdovirus, complete genome",12426
NC_036579.1,"NC_036579.1 Ictalurid herpesvirus 2 strain 760/94, complete genome",142925
NC_036580.1,"NC_036580.1 TPA: Allium cepa amalgavirus 1 strain AcAV1-OH1, complete genome",3453
NC_036581.1,"NC_036581.1 TPA: Allium cepa amalgavirus 2 strain AcAV2-DH5225, complete genome",3453
NC_036582.1,"NC_036582.1 Flamingopox virus FGPVKD09, complete genome",293123
NC_036583.1,"NC_036583.1 Rodent astrovirus isolate GX-006, complete genome",6861
NC_036586.1,"NC_036586.1 Dianke virus strain SEN235030, complete genome",20106
NC_036587.1,"NC_036587.1 Babaco mosaic virus isolate Tandapi, complete genome",6692
NC_036588.1,"NC_036588.1 Passerivirus sp. strain waxbill/DB01/HUN/2014, complete genome",9130
NC_036590.1,"NC_036590.1 Rosellinia necatrix hypovirus 1 genomic RNA, complete genome, strain: Rn-Ca",13156
NC_036591.1,"NC_036591.1 Tomato apical leaf curl virus isolate AR:Yuto:Tom420:08, complete genome",2873
NC_036592.1,"NC_036592.1 Pleurochrysis carterae circular virus isolate PcCV-1, complete genome",2255
NC_036594.1,"NC_036594.1 Orpheovirus IHUMI-LCC2 genome assembly, complete genome: monopartite",1473573
NC_036595.1,"NC_036595.1 Aeropyrum globular virus 1 genomic DNA, complete genome",18222
NC_036604.1,"NC_036604.1 Kabuto mountain virus RdRp gene for RNA-dependent RNA polymerase, complete cds, strain: T32",6430
NC_036605.1,"NC_036605.1 Kabuto mountain virus GPs gene for envelope glycoproteins, complete cds, strain: T32",3151
NC_036606.1,"NC_036606.1 Kabuto mountain virus N, NSs genes for nucleocapsid protein, nonstructural protein, complete cds, strain: T32",1868
NC_036636.1,"NC_036636.1 Kasokero virus isolate Z-52963 RNA-dependent RNA polymerase gene, complete cds",12063
NC_036802.1,"NC_036802.1 Saffron latent virus isolate Ir-Kh1, complete genome",9693
NC_036803.1,"NC_036803.1 Pepper vein yellows virus 5 isolate Spain-Almeria 2-2013, complete genome",6125
NC_036877.1,"NC_036877.1 Cyclovirus PK5006, complete genome",1723
NC_037051.1,"NC_037051.1 Hyacinth mosaic virus isolate Nannup BC28, complete genome",9500
NC_037053.1,"NC_037053.1 Bovine parvovirus 3 isolate ujs1794 nonstructural protein and structural protein genes, complete cds",5100
NC_037057.1,"NC_037057.1 Dishui lake phycodnavirus 1, complete genome",181035
NC_037058.1,"NC_037058.1 Grapevine virus I isolate VID499, complete genome",7507
NC_037059.1,"NC_037059.1 Leptonychotes weddellii papillomavirus 5 isolate 12975, complete genome",7682
NC_037060.1,"NC_037060.1 Varroa mite associated virus 1 isolate VPVL_46, complete genome",1811
NC_037061.1,"NC_037061.1 Leptonychotes weddellii papillomavirus 1 isolate 13241, complete genome",7502
NC_037062.1,"NC_037062.1 Varroa mite associated genomovirus 1 isolate VPVL_36, complete genome",2194
NC_037063.1,"NC_037063.1 Limeum africanum associated virus isolate 2-12-F, complete genome",2963
NC_037064.1,"NC_037064.1 Leptonychotes weddellii papillomavirus 4 isolate 12091, complete genome",7836
NC_037065.1,"NC_037065.1 Exomis microphylla associated virus isolate 2-90-C1, complete genome",2974
NC_037066.1,"NC_037066.1 Juncus maritimus associated virus isolate 13-FMN-1, complete genome",2740
NC_037067.1,"NC_037067.1 Leptonychotes weddellii papillomavirus 2 isolate 11445, complete genome",7392
NC_037068.1,"NC_037068.1 Polygala garcinii associated virus isolate 1-1, complete genome",2798
NC_037069.1,"NC_037069.1 Leptonychotes weddellii papillomavirus 3 isolate 17181, complete genome",7677
NC_037654.1,"NC_037654.1 Sichuan takin enterovirus, complete genome",6519
NC_037655.1,"NC_037655.1 Sichuan takin astrovirus, complete genome",6233
NC_037656.1,"NC_037656.1 Sea otter poxvirus strain ELK, complete genome",127879
NC_037659.1,"NC_037659.1 Botrytis cinerea hypovirus 1, complete genome",10252
NC_037660.1,"NC_037660.1 Botrytis cinerea fusarivirus 1, complete genome",8448
NC_037661.1,"NC_037661.1 Botrytis cinerea fusarivirus 1-S1, complete genome",3482
NC_037662.1,"NC_037662.1 Botrytis cinerea fusarivirus 1-S2, complete genome",3253
NC_037663.1,"NC_037663.1 Botrytis cinerea hypovirus 1 satellite-like RNA, complete genome",3960
NC_037664.1,"NC_037664.1 Botrytis cinerea hypovirus 1 satellite-like RNA-S, complete genome",1413
NC_037665.1,"NC_037665.1 Pandoravirus macleodensis, complete genome",1838258
NC_037666.1,"NC_037666.1 Pandoravirus neocaledonia, complete genome",2003191
NC_037667.1,"NC_037667.1 Pandoravirus quercus, complete genome",2077288
NC_038017.1,"NC_038017.1 Sulfolobus polyhedral virus 1 isolate S14, complete genome",20222
NC_038235.1,"NC_038235.1 Human respiratory syncytial virus isolate HRSV/A/USA/001/198X, complete genome",15222
NC_038236.1,"NC_038236.1 Vesicular stomatitis Indiana virus strain 98COE, complete genome",11162
NC_038269.1,"NC_038269.1 Pteromalus puparum negative-strand RNA virus 1, complete genome",12230
NC_038270.1,"NC_038270.1 Simian Agent 10, complete genome",15462
NC_038271.1,"NC_038271.1 Bat Paramyxovirus Epo_spe/AR1/DRC/2009, complete genome",15378
NC_038272.1,"NC_038272.1 Bovine respiratory syncytial virus ATCC51908, complete genome",15140
NC_038281.1,"NC_038281.1 Drosophila melanogaster sigma virus HAP23, complete genome",12625
NC_038282.1,"NC_038282.1 Ekpoma virus 1 isolate EKV-1, partial genome",12659
NC_038283.1,"NC_038283.1 Ekpoma virus 2 isolate EKV-2, partial genome",12674
NC_038286.1,"NC_038286.1 Piry virus strain BeAn2423, complete genome",11271
NC_038291.1,"NC_038291.1 Porcine reproductive and respiratory syndrome virus 2, complete genome",15411
NC_038293.1,"NC_038293.1 Simian hemorrhagic encephalitis virus isolate Sukhumi, complete genome",15370
NC_038294.1,"NC_038294.1 Betacoronavirus England 1 isolate H123990006, complete genome",30111
NC_038296.1,"NC_038296.1 Karang Sari virus strain JKT10701, complete genome",20795
NC_038297.1,"NC_038297.1 Dak Nong virus RNA, complete genome",20307
NC_038298.1,"NC_038298.1 Bayou virus nucleocapsid protein, complete cds",1958
NC_038299.1,"NC_038299.1 Bayou virus isolate HV F0260003 segment L, complete sequence",6554
NC_038300.1,"NC_038300.1 Bayou virus glycoprotein precursor, complete cds",3677
NC_038301.1,"NC_038301.1 Lygus lineolaris virus 1 isolate LlV-1, complete genome",9655
NC_038302.1,"NC_038302.1 Nilaparvata lugens honeydew virus-1 genomic RNA, complete genome, isolate: Izumo",10967
NC_038304.1,"NC_038304.1 Turkey avisivirus isolate USA-IN1, complete genome",7373
NC_038306.1,"NC_038306.1 Human coxsackievirus A2 strain Fleetwood, complete genome",7398
NC_038307.1,"NC_038307.1 Coxsackievirus B3 mRNA, complete genome",7399
NC_038308.1,"NC_038308.1 Human enterovirus 68 strain Fermon, complete genome",7367
NC_038309.1,"NC_038309.1 Simian enterovirus SV4 strain 1715 UWB, complete genome",7295
NC_038310.1,"NC_038310.1 Dromedary camel enterovirus strain 19CC, complete genome",7441
NC_038311.1,"NC_038311.1 Human rhinovirus 1 strain ATCC VR-1559, complete genome",7137
NC_038312.1,"NC_038312.1 Human rhinovirus 3, complete genome",7208
NC_038313.1,"NC_038313.1 Bat hepatovirus SMG18520Minmav2014 polyprotein gene, complete cds",7570
NC_038314.1,"NC_038314.1 Rodent hepatovirus CIV459Lopsik2004 polyprotein gene, complete cds",7406
NC_038317.1,"NC_038317.1 Kunsagivirus 1 strain roller/SZAL6-KuV/2011/HUN, complete genome",7272
NC_038319.1,"NC_038319.1 polyprotein [echovirus 22 EV22, Harris, Genomic RNA Complete, 7339 nt]",7339
NC_038320.1,"NC_038320.1 Carrot necrotic dieback virus strain Anthriscus, complete genome",9905
NC_038324.1,"NC_038324.1 Melon yellowing-associated virus genomic RNA, complete genome, isolate: M22",9073
NC_038325.1,"NC_038325.1 Caucasus prunus virus isolate Aze204, complete genome",8255
NC_038331.1,"NC_038331.1 Bombyx mori latent virus genomic RNA, complete genome",6532
NC_038332.1,"NC_038332.1 Fowl adenovirus 6 strain CR119, complete genome",43810
NC_038336.1,"NC_038336.1 Torque teno virus 5 isolate TCHN-C1 Orf2 and Orf1 genes, complete cds",3229
NC_038337.1,"NC_038337.1 Torque teno virus 9 clone BM1C-18 ORF2 (ORF2) gene, complete cds; and nonfunctional ORF1 (ORF1) gene, complete sequence",3064
